"Front","Back"
"Malicious intent","A cause of an accident that makes a person or company legally responsible (liable) under the law."
"Reckless action","A careless behavior that causes an accident, making a person or company legally accountable."
"Negligent action","Failing to take proper care, which causes an accident and results in legal liability."
"Forward-looking","A type of responsibility (obligation-responsibility) focused on fulfilling duties and obligations in the future."
"Engineering standards","Requirements such as having specialist knowledge (competence) and a commitment to excellence in service delivery."
"Public trust","The relationship between professionals and society, requiring engineers to act responsibly so the public trusts their judgement."
"Retrospective","A backward-looking responsibility (blame-responsibility) regarding past actions and whether obligations were met."
"Faults and disasters","Negative outcomes caused by actions or inactions, which are the main focus of blame-responsibility."
"Moral agency","The capacity to be held blame-responsible, raising the question of whether organizations like NASA can be held accountable like individuals."
"Standard of good standing","The level or quality of service ordinarily provided by normally competent practitioners in that field."
"Competent practice","Exercising the standard of reasonable care similar to other professionals in the same locality and circumstances."
"Individual engineers","The specific professionals involved in a project, whose personal accountability was questioned in the Columbia disaster."
"NASA management","The leadership team that refused to inspect the Columbia's wing or inform the astronauts of the danger until just before return."
"Organizational responsibility","The concept of holding an entire entity or company accountable for failures, rather than just individuals."
"Problem of many hands","Fractured or diffused responsibility in groups where harm is produced by collective action or inaction."
"Self-deception","A blind spot where we deceive ourselves as a means to protect ourselves."
"Wilful blindness","A blind spot where people intentionally choose not to face the truth."
"Inattentional blindness","Failing to perceive something that is right in front of you, acting as a blind spot to responsibility."
"Normalizing deviance","Accepting problems or dangers as normal instead of remedying them, such as NASA's belief that foam strikes posed no real threat."
"Self-interest and Egoism","The exclusive concern to satisfy one's own interests even at the cost of others, which can blind us to professional responsibilities."
"Egocentric tendencies","A form of ignorance where a person assumes that others' perspectives are similar to their own."
"Microscopic tendencies","Focusing intensely on specific details or intricate knowledge while remaining blind to the bigger picture."
"Uncritical acceptance of authority","Losing one's sense of moral responsibility by blindly following orders, often fueled by hierarchical organizational structures."
"Milgram's obedience experiments","Studies showing that two-thirds of volunteers would administer severe shocks to others if an authoritative figure promised to take responsibility."
"Asch conformity experiment","An experiment demonstrating how individuals conform to group pressures, illustrated by comparing the lengths of lines."
"Illusion of invulnerability","A symptom of groupthink where the group believes they are immune to failure or harm."
"Self-censorship","A symptom of groupthink where individuals withhold their own dissenting opinions or concerns to fit in."
"Mind guarding","A symptom of groupthink involving keeping outside, dissenting views away from the group."
"Illusion of unanimity","A symptom of groupthink where members falsely believe everyone in the group is in total agreement."